,Day,Bank Holiday,Week Day,Price Double Room,Price Single Room,Price Family Suite,The Children events,Diet available,Avg temperature
0,1,1,Monday,220,160,320,Craft Activities,"Vegeterian, Ketogenic Diet, Mediterranean Diet, Vegan, Low-Carb, Raw Food",18
1,2,0,Tuesday,150,110,250,Movie Time,"Vegeterian, Ketogenic Diet,  Mediterranean Diet,  Vegan",19
2,3,0,Wednesday,150,110,250,Museum Tour,"Vegeterian, Ketogenic Diet,  Mediterranean Diet,  Vegan",18
3,4,0,Thursday,150,110,250,Muffins for Mom ,"vegeterian, Ketogenic Diet,  Mediterranean Diet,  Vegan",22
4,5,0,Friday,150,110,250,Build a Poetry Tree,"vegeterian, Ketogenic Diet,  Mediterranean Diet,  Vegan",21
5,6,0,Saturday,200,130,300,Drama Games,"vegeterian, Ketogenic Diet, Mediterranean Diet, Vegan, Low-Carb, Raw Food",20
6,7,0,Sunday,200,130,300,Bake something tasty,"vegeterian, Ketogenic Diet, Mediterranean Diet, Vegan, Low-Carb, Raw Food",19
7,8,0,Monday,135,100,220,Museum Tour,"vegeterian, Ketogenic Diet,  Mediterranean Diet,  Vegan",18
8,9,0,Tuesday,135,100,220,Make a Lava Lamp,"vegeterian, Ketogenic Diet,  Mediterranean Diet,  Vegan",21
9,10,0,Wednesday,135,100,220,Visit to the Aquarium,"vegeterian, Ketogenic Diet,  Mediterranean Diet,  Vegan",22
10,11,0,Thursday,150,110,250,Talent Show,"vegeterian, Ketogenic Diet,  Mediterranean Diet,  Vegan",22
11,12,0,Friday,150,110,250,Young Scientists,"vegeterian, Ketogenic Diet,  Mediterranean Diet,  Vegan",21
12,13,0,Saturday,200,130,300,Puzzle Time,"vegeterian, Ketogenic Diet, Mediterranean Diet, Vegan, Low-Carb, Raw Food",20
13,14,0,Sunday,200,130,300,Indoor Tennis,"vegeterian, Ketogenic Diet, Mediterranean Diet, Vegan, Low-Carb, Raw Food",25
14,15,0,Monday,150,110,250,Young Artists,"vegeterian, Ketogenic Diet,  Mediterranean Diet,  Vegan",24
15,16,0,Tuesday,150,110,250,Museum Tour,"vegeterian, Ketogenic Diet,  Mediterranean Diet,  Vegan",21
16,17,0,Wednesday,150,110,250,Craft Activities,"vegeterian, Ketogenic Diet,  Mediterranean Diet,  Vegan",22
17,18,0,Thursday,150,110,250,Drama Games,"vegeterian, Ketogenic Diet,  Mediterranean Diet,  Vegan",23
18,19,0,Friday,150,110,250,Build a Poetry Tree,"vegeterian, Ketogenic Diet,  Mediterranean Diet,  Vegan",20
19,20,0,Saturday,200,130,300,Visit to the Aquarium,"vegeterian, Ketogenic Diet, Mediterranean Diet, Vegan, Low-Carb, Raw Food",21
20,21,0,Sunday,200,130,300,Young Scientists,"vegeterian, Ketogenic Diet, Mediterranean Diet, Vegan, Low-Carb, Raw Food",22
21,22,0,Monday,150,110,250,Story Time,"vegeterian, Ketogenic Diet,  Mediterranean Diet,  Vegan",25
22,23,0,Tuesday,150,110,250,Music games,"vegeterian, Ketogenic Diet,  Mediterranean Diet,  Vegan",24
23,24,0,Wednesday,150,110,250,Swimming Lessons,"vegeterian, Ketogenic Diet,  Mediterranean Diet,  Vegan",26
24,25,0,Thursday,150,110,250,Biosphere Lesson for children,"vegeterian, Ketogenic Diet,  Mediterranean Diet,  Vegan",27
25,26,0,Friday,150,110,250,Theater,"vegeterian, Ketogenic Diet,  Mediterranean Diet,  Vegan",25
26,27,1,Saturday,200,130,300,Hide and Seek,"vegeterian, Ketogenic Diet, Mediterranean Diet, Vegan, Low-Carb, Raw Food",29
27,28,1,Sunday,200,130,300,Bake something tasty,"vegeterian, Ketogenic Diet, Mediterranean Diet, Vegan, Low-Carb, Raw Food",26
28,29,1,Monday,220,160,320,Drama Games,"vegeterian, Ketogenic Diet,  Mediterranean Diet,  Vegan",25
29,30,1,Tuesday,220,160,320,Visit to the Aquarium,"vegeterian, Ketogenic Diet, Mediterranean Diet, Vegan, Low-Carb, Raw Food",27
30,31,0,Wednesday,150,110,250,Indoor Tennis,"vegeterian, Ketogenic Diet,  Mediterranean Diet,  Vegan",26
